part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,,,Loch,hole,,
,,,,,,"Farblaeufer, Silikonkrater","Color Laewer, Silicone Crater",,
,,,,,,Nicht fachgerecht entklebt,Unclearly disassembled,,
,,,,,,Schutzleiste,Trash,,
,,,,,,siehe Schimmelbildung,See mold,,
,,,,,,Riss,Crack,,
,,,,,,Rechts vorne,Right front,,
,,,,,,siehe Bemerkungen,See explanatory notes,,
,,,,,,Scheiben im Fahrzeugfond mit Folie getoent entkleben,Disconnect slices in the vehicle fold with foil,,
,,,,,,Halteband.,Toadband.,,
,,,,,,Kleine klappe links,Small flap left,,
,,,,,,Untergrund unebenheiten,Underground unevenness,,
,,,,,,Winterreifen.,Winter tires.,,
,,,,,,"Tragbild,Korrosion,Riefenbildung.","Load picture, corrosion, shouting.",,
,,,,,,seit 300km oder 328 Tagen.,For 300km or 328 days.,,
,,,,,,Keine Polymerbeschichtung,No polymer coating,,
,,,,,,incl. Tuergriff,incl. Taper handle,,
,,,,,,Tragbild,Wearing picture,,
,,,,,,Lautsprecherblende,Speaker,,
,,,,,,Klebereste entfernen.,Remove adhesive residue.,,
,,,,,,Brandloch.,Brand hole.,,
,,,,,,Diagnose erforderlich. Mehrkosten moeglich.,Diagnosis required. Additional costs possible.,,
,,,,,,Sowie verformt.,As well as deformed.,,
,,,,,,"10 minimale Dellen, 2 sichtbare.","10 minimum dents, 2 visible.",,
,,,,,,>10,> 10,,
,,,,,,Seite rechts,Page right,,
,,,,,,keine Reifen 215/60 R16 95V,No tires 215/60 R16 95V,,
,,,,,,"Einstieg links, nach Lackierung nicht angebracht","Entry on the left, not installed after painting",,
,,,,,,Lacktiefenbehandlung,Lacquer depth treatment,,
,,,,,,"Lackstrucktur, Unregelmaeßigkeiten, Einschluesse, Lacknasen","Paint print, irregularities, sockets, paint noses",,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,"Einschluesse, Lackstrucktur, UEbergaenge, Schleifspuren","Sleep, paint print, UebergAenge, grinding tracks",,
,,,,,,komplett,completely,,
,,,,,,"Lackstaerke, Lackstrucktur, Einschluesse","Lacquer's daily, paint print, including",,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Unfallschaden,Accident damage,,
,,,,,,Lackplatzer,Lacquer,,
,,,,,,"Motorhaube laesst sich nicht oeffnen, Mehrk.moegl.","Bonnet does not open, Mintk.Moegl.",,
,,,,,,Beschriftungsrueckstaende,Labeling,,
,,,,,,10/ 2019,10/2019,,
,,,,,,10/ 2018,10/2018,,
,,,,,,11/ 2019,11/2019,,
,,,,,,mit Korrosion,corrosion,,
,,,,,,Korrosion/ Flugrost,Corrosion / rust,,
,,,,,,mit Korrosion/ Flugrost,with corrosion / rust,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#NAME?,#NAME?,,
,,,,,,02 19,02 19,,
,,,,,,Tierhaare,Animal hair,,
,,,,,,Links und rechts Innenseite,Left and right inside,,
,,,,,,Innenseitig abgelaufen +beschaedigt(Sommerreifen,Outwardly expired + damaged (summer tires,,
,,,,,,Orangenhaut mit Dellen,Orange skin with dents,,
,,,,,,Beleuchtung ohne Funktion,Lighting without function,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Marder,marten,,
,,,,,,Steckdose,socket,,
,,,,,,"keine RunFlat Reifen, TireFit ergaenzen","No Runflat tires, tirefit erect",,
,,,,,,Harz,resin,,
,,,,,,verschmutzt / vermuellt,dirty / laxed,,
,,,,,,Halterseile,Holder,,
,,,,,,Ecke,corner,,
,,,,,,Blende Links,Hide left,,
,,,,,,Flankenschaden,Flank damage,,
,,,,,,Verkleidung oben und mitte,Cladding top and center,,
,,,,,,"Lacknebel, klarlackkante","Paint fog, clear coat edge",,
,,,,,,"Orangenhaut, Lack ist wellig, schlechte Passung","Orange skin, paint is wavy, bad fit",,
,,,,,,sarker Lacknebel und,Sarker paint fog and,,
,,,,,,Dachkante,Roofing edge,,
,,,,,,polierbar,polishable,,
,,,,,,Winterradsatz,Winter wheelset,,
,,,,,,"Zierleiste, gebrochen","Trim, broken",,
,,,,,,"Winterradsatz, mit Materialabtrag","Winter wheelset, with material removal",,
,,,,,,Sommerbereifung liegt bei,Summer tires is at,,
,,,,,,getoent,tinted,,
,,,,,,Durch Anaetzung,By obsolete,,
,,,,,,Unterdruckschlauch,Vacuum hose,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Inkl. Leuchte,Incl. Light,,
,,,,,,Beulen von Innen,Beings from the inside,,
,,,,,,2er,2,,
,,,,,,Halter links,Holder left,,
,,,,,,"Spaltmaße nicht i. O. , Kostenausweitung moeglich","Do not pile dies i. O., cost expansion possible",,
,,,,,,Marderbisse; Folgekosten moeglich,Mardrisen; Subsequent costs possible,,
,,,,,,incl. Luftgitter ern.,incl. Air grid.,,
,,,,,,Veraetzt,Relapsed,,
,,,,,,eingedrueckt,uncovered,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Bohrloch,Borehole,,
,,,,,,Chrom abplatzer,Chrome chrome,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Verkleidung Hinten,Close up,,
,,,,,,Dachhimmelverkleidung hinten,Rear sky cladding,,
,,,,,,Am Antennenfuss / Druckstelle,At the antenna foot / printing point,,
,,,,,,Foliert,Foiled,,
,,,,,,Sehr viele Staubeinschluesse und Lacknebel,Very many dust closures and paint mist,,
,,,,,,Seite Rechts,Page right,,
,,,,,,Batterie vorbehaltlich Folgekosten,Battery subject to follow-up costs,,
,,,,,,Laesst sich nicht demontieren vorbehaltlich Folgekosten,Do not be disassembled subject to follow-up costs,,
,,,,,,"Lackstruktur mangelhaft, Schleifspuren sichtbar & Korrosion","Paint structure poor, grinding tracks visible & corrosion",,
,,,,,,02/20/22,02/20/22,,
,,,,,,Blende Chrom blaettert ab,Hide chrome blade,,
,,,,,,zieht Faeden,Attracts fawn,,
,,,,,,Delle und Steinschlag,Delle and rockfall,,
,,,,,,Kratzer und Dellen,Scratches and dents,,
,,,,,,Drehbefestigung,Rotary attachment,,
,,,,,,Auf weitere Schaeden pruefen,Prüfen on more Schaeden,,
,,,,,,Sommerrad,Summer wheel,,
,,,,,,Zigarettenrauch,Cigarette smoke,,
,,,,,,"Lackoberflaeche Orangenhaut, Lackeinschluesse sichtbar","Lacquer surface orange skin, paint influence visible",,
,,,,,,Verkleidungen / Kofferraum,Cladding / trunk,,
,,,,,,& Korrosion,Corrosion,,
,,,,,,Außen abgefahren,Left out,,
,,,,,,"und rechts, inkl. Tuerverkleidungen","and right, incl. Door panels",,
,,,,,,"Tragbild ungenuegend, Rostkante","Load picture insufficient, rust edge",,
,,,,,,Abrieb,Abrasion,,
,,,,,,"Rostkante, Tragbild ungenuegend","Rustkarte, wearing picture insufficient",,
,,,,,,Radhausschale,Wheel arch,,
,,,,,,"Inspektion in 29 Tagen, OElwechsel seit 14 Tagen","Inspection in 29 days, oil change for 14 days",,
,,,,,,Kofferraumbefestigung,Trunk attachment,,
,,,,,,Rechts hinten innen,Right rear inside,,
,,,,,,"Delle, Lackplatzer","Delle, paint place",,
,,,,,,in Praegekante,in Praegekante,,
,,,,,,vorne rechts,Front right,,
,,,,,,inkl. Sitze > Flecken,Incl. Seats> Spots,,
,,,,,,Felgenhorn verformt,Felgenhorn deformed,,
,,,,,,Polster,pad,,
,,,,,,"Laeufer,orangenhaut.Schleifen/Polieren.Folgekosten moeglich","Laeuer, orange skin. Grinding / polishing. Expenses possible",,
,,,,,,mit Rissbildung im Randbereich,with cracking in the edge area,,
,,,,,,inkl. Diffusor,incl. Diffuser,,
,,,,,,3 x,3 x,,
,,,,,,bzw.Abdeckkappe,or cover cap,,
,,,,,,Hagelschaden Motorhaube und Kotfluegel,Hail damage bonnet and mudguard,,
,,,,,,Seal Reifen,Seal tire,,
,,,,,,mit rissbildung.+ Kratzer,with cracking. + scratches,,
,,,,,,Sowie Zierleiste Tuere vorne links.,As well as trim tube front left.,,
,,,,,,Und links. Vorne.,And left. In front.,,
,,,,,,4 Dellen.,4 dents.,,
,,,,,,"Mehrkosten moeglich, nahe Kante.","Additional costs possible, near edge.",,
,,,,,,Kein SmartRepair moeglich.,No SmartRepair possible.,,
,,,,,,Beleuchtung/ Glas,Lighting / glass,,
,,,,,,und Spiegelabdeckung,and mirror cover,,
,,,,,,groesser 2mm,Groove 2mm,,
,,,,,,Haustier,domestic animal,,
,,,,,,Mit Knick,Knot,,
,,,,,,Durchschlag bis aufs blech,Punch until the sheet metal,,
,,,,,,Nabendeckel fehlen,Hub cover missing,,
,,,,,,Gangwahlhebel,Gait,,
,,,,,,Nicht behobener Unfallschaden,Unresolved accident damage,,
,,,,,,Abdeckung hinten,Cover rear,,
,,,,,,Gepaeckraumleuchte herrausnehmbar,Luggage room lamp,,
,,,,,,Lack wellig,Paint wavy,,
,,,,,,im Sichtfeld,in the field of view,,
,,,,,,Falsche Laufrichtung!,Wrong running direction!,,
,,,,,,FIN Datentraeger,Fin data trainee,,
,,,,,,Lack ist matt,Lack is matt,,
,,,,,,Vl,Vl,,
,,,,,,zusaetzlich Delle,additionally delle,,
,,,,,,Allwetter unter 4 mm,All-weather below 4 mm,,
,,,,,,09 19,09 19,,
,,,,,,mit Rissbildung. Folgekosten moeglich.,with cracking. Subsequent costs possible.,,
,,,,,,Lackverschmutzung.,Paint pollution.,,
,,,,,,Vorbehaltlich Folgekosten moeglich,Subject to follow-up costs possible,,
,,,,,,AW siehe Sitzbezug,AW see seat cover,,
,,,,,,Laesst sich von außen nicht oeffnen,Do not open from the outside,,
,,,,,,Motor dreht nicht,Engine does not turn,,
,,,,,,"Wasserschaden, Verschmutzungen und Geruch","Water damage, dirt and smell",,
,,,,,,Harzanhaftungen,Resin adhesion,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Laeufer,Runner,,
,,,,,,Max Profildiffererenz 2mm,Max profile differentence 2mm,,
,,,,,,nicht sach und fachgerecht,Not self-owned and professional,,
,,,,,,"Schleifen, auslegen und polieren","Grinding, laying and polishing",,
,,,,,,"Sehr stark ueberzogen, Folgekosten moeglich","Very strongly translated, follow-up costs possible",,
,,,,,,Seitenschaden rechts,Side damage to the right,,
,,,,,,KRATZER,SCRATCH,,
,,,,,,in 6000 km / 108 Tagen,in 6000 km / 108 days,,
,,,,,,Ganzjahresreifen unter 4 mm,All-season tires below 4 mm,,
,,,,,,in 39 Tagen / 6200 km,in 39 days / 6200 km,,
,,,,,,diverse Steinschlaege,Various stone slides,,
,,,,,,ohne OElwechselservice,without oil change service,,
,,,,,,veraetzte Lackstellen,Puted lacquer points,,
,,,,,,"Tragbild angerostet, Riefenbildung","Load picture indomested, shouting",,
,,,,,,Holzverkleidung Laderaum,Wood paneling cargo space,,
,,,,,,Farbe,color,,
,,,,,,Windschutzscheibe rechts,Windshield right,,
,,,,,,Oxidiert,Oxidized,,
,,,,,,"Motorhaube, Dach, Kotfluegel re, Tuer vo re,Dachholm re, Heckk","Bonnet, roof, mudflow Re, door Vo Re, roof car re, Heckk",,
,,,,,,Klarlack ausgerissen,Clearcoat tore,,
,,,,,,Tuer h.l innen,Tuer H.L inside,,
,,,,,,Gummileiste,Rubber bar,,
,,,,,,Tuerverkleidung,Tuberry,,
,,,,,,Griff klappt nicht mehr ein,Handle does not work anymore,,
,,,,,,Chromleiste Stoßfaenger hinten,Chrome strip rear fauger rear,,
,,,,,,Raucherfahrzeug,Smoking vehicle,,
,,,,,,Klemmt wegen Fremdkoerper,Clamps for external cooper,,
,,,,,,Achsweise gleicher Reifenhersteller,Same tire manufacturer,,
,,,,,,Verschiedene Reifenhersteller pro Achse,Various tire manufacturers per axis,,
,,,,,,Geruch,odor,,
,,,,,,Folie defekt,Foil defective,,
,,,,,,Schultern abgewetzt,Shoulders,,
,,,,,,Unterteil Hartplastik,Lower part hard plastic,,
,,,,,,HL,HL,,
,,,,,,"Lackeinschluesse, Kratzer unter Lack.","Paint influence, scratches under paint.",,
,,,,,,Spaltmass niO. Schadensausweitung moeglich,Gap Mass Nio. Damage extension possible,,
,,,,,,und rechts Fussmatte,and right foot mat,,
,,,,,,inkl. Lehnenbezug,including backrest cover,,
,,,,,,linker Schalter,Left switch,,
,,,,,,Veraetzungen durch Marder (Folgekosten koennen entstehen),Assumes by Marder (follow-up costs),,
,,,,,,sehr schlechtesTragbild,very bad,,
,,,,,,seit 12 Tagen,For 12 days,,
,,,,,,H.R. und V.R.,MR. and V.R.,,
,,,,,,Und Dach,And roof,,
,,,,,,Kein Seal Inside reifen/ nicht selbstversiegelnd.,No Seal inside tire / not self-sealing.,,
,,,,,,Wartung und Verschleiß.,Maintenance and wear.,,
,,,,,,Grober Materialabtrag,Gross material removal,,
,,,,,,Laufflaeche loest sich ab,Running plaque loans,,
,,,,,,Lackblase,Lacquer,,
,,,,,,"Schleifspuren, Abklebekanten","Grinding tracks, masking edges",,
,,,,,,Batterie beide Schluessel,Battery both keys,,
,,,,,,Aussenspiegelabdeckung und Tuerleiste,Outside mirror cover and door bar,,
,,,,,,Incl. Aufkleber entfernen,Incl. Remove stickers,,
,,,,,,plastisch verformt,plastically deformed,,
,,,,,,Anfahrschaden Heck inkl. Heckleuchte li innen erneuern,Starting damage rear incl. Renew rear light Li inside,,
,,,,,,"Winterreifen. Saegezahbildung, Laute Abrollgeraeusche.","Winter tires. Saezahrildung, loud rolling gear.",,
,,,,,,in 8 Tagen,in 8 days,,
,,,,,,Lampe,lamp,,
,,,,,,Keine Sealeigenschaft,No sea property,,
,,,,,,Schluesselbart lose,Keybard loose,,
,,,,,,Silberner Teil,Silver part,,
,,,,,,03/20/22,03/20/22,,
,,,,,,in 11 Tagen,in 11 days,,
,,,,,,Kantige Delle,Edgy,,
,,,,,,Ladekannte,Charged,,
,,,,,,Bereich Radlauf. Folgekosten moeglich.,Area cycling. Subsequent costs possible.,,
,,,,,,"Lack Matt & Wellig, Schleifspuren.","Paint matt & wavy, grinding tracks.",,
,,,,,,Starkes quietschen im Standgas,Strong squeaks in the leaflet,,
,,,,,,Reparaturerweiterung nach Reinigung moeglich,Repair expansion after cleaning possible,,
,,,,,,Ca 10 Dellen,About 10 dents,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Nicht abrufbar,Unavailable,,
,,,,,,Harzflecken,Resin stains,,
,,,,,,Tueren rechts und Seitenwaende,Tueren right and side ways,,
,,,,,,"Vogelkotveraetzungen,Lacktiefenbehandlung, Mehrkosten moeglich","Birdcot relays, lacquer depth treatment, additional costs possible",,
,,,,,,Kratzer und Vogelkotveraetzung,Scratch and bird dropping,,
,,,,,,aufgestaucht,shock,,
,,,,,,1x Batterie,1x battery,,
,,,,,,Steinschlag;,Rockfall;,,
,,,,,,10/2019,10/2019,,
,,,,,,UNFALLSCHADEN,Accident damage,,
,,,,,,abgefahren,worn,,
,,,,,,seit 10/19.,Since 10/19.,,
,,,,,,auf Kante unten.Folgekosten moeglich.,On edge below. Expenses possible.,,
,,,,,,Ankerblech links.,Anchor plate left.,,
,,,,,,Unterteil.,Bottom.,,
,,,,,,Lackbruch.,Paint fracture.,,
,,,,,,"Tragbild,Korrosion.","Load picture, corrosion.",,
,,,,,,Krater / Narbig,Craters / Narbig,,
,,,,,,Stoßfaenger vorn,Shock Fenger,,
,,,,,,AdBlue Reichweite ist unter 1000km,AdBlue range is below 1000km,,
,,,,,,"Belaege verschlissen , Bremsscheiben Korrosion,Eingelaufen","Belongs worn, brake disc corrosion, run",,
,,,,,,Belaege und Scheiben sind Eisen auf Eisen,Beles and slices are iron on iron,,
,,,,,,Stoßfaenger vorne,Front bumper,,
,,,,,,Bissspuren,Show tracks,,
,,,,,,Befestigung f Warndreieck,Fixing F warning triangle,,
,,,,,,Komplett,Completely,,
,,,,,,Abdeckkappe rechts,Cover cap right,,
,,,,,,Spaltmaß,Gap,,
,,,,,,Druecken+ auslegen/polieren,Press + Exposure / Polishing,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Abplatzung>2mm +zu viel im Sichtfeld,Safety> 2mm + too much in the field of view,,
,,,,,,Sommerreifen 195/55 R 16,Summer tires 195/55 R 16,,
,,,,,,Untere Leiste,Lower bar,,
,,,,,,Wassereinbruch auf Beifahrerseite,Water collapse on passenger side,,
,,,,,,Lackkosten im Stoßfaenger,Lacquer costs in the shock fenger,,
,,,,,,Heckspoiler,Tailpoiler,,
,,,,,,"Verkleidung, Dachhimmel, Sitze","Cladding, headliner, seats",,
,,,,,,Geschwindigkeitsindex,Speed ​​index,,
,,,,,,Lackierkante deutlch sichtbar,Paint edge Deutlch visible,,
,,,,,,Lackierkante deutlich sichtbar,Painting edge clearly visible,,
,,,,,,Leuchte,lamp,,
,,,,,,Tuere quietscht wegen verformten Kotfluegel,Tüere squeaks due to deformed mudguard,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Motorkontrolleuchte leuchtet,Motor container lights,,
,,,,,,Reifen auf der Innenseite stark abgelaufen,Tire expired on the inside,,
,,,,,,u. Riss,u. crack,,
,,,,,,Einstieg VR,Entry vr,,
,,,,,,Klebetechnik,Adhesive,,
,,,,,,Ca. 6 Dellen,About 6 dents,,
,,,,,,Außen,Outside,,
,,,,,,Mehrkosten nach Demontage moeglich,Additional costs after disassembly possible,,
,,,,,,"Umweltschaeden, Lacktiefenbehandlung","Environmental charges, paint depth treatment",,
,,,,,,"HR, Winter","Hr, winter",,
,,,,,,Felgenbund abweichendes Design,Wheelbund deviating design,,
,,,,,,inkl. Sitze aufbereiten,Incl. Prepare seats,,
,,,,,,Lackmangel. Folgekosten moeglich.,Paint deficiency. Subsequent costs possible.,,
,,,,,,rechts.,right.,,
,,,,,,in 14 Tagen.,in 14 days.,,
,,,,,,Radblenden sind lackiert,Wheels are painted,,
,,,,,,ggf. Folgekosten moeglich,if necessary follow-up costs possible,,
,,,,,,Ohne Funktion,Without function,,
,,,,,,WR,Wr,,
,,,,,,Netz Rueckseite; Siehe Bemerkung,Network backside; See comment,,
,,,,,,leichte Druckstelle,Lightweight printing point,,
,,,,,,Winterraeder einseitig abgefahren,Winterraeder wrapped on one side,,
,,,,,,Reste von Beklebung,Remains of casting,,
,,,,,,Kleberreste,Adhesive,,
,,,,,,Steinschlag mit Korrosionsantrag,Rockfall with corrosion application,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Blende Tuer vorne hinten.,Hide door front back.,,
,,,,,,Vorne links.,Front left.,,
,,,,,,Und verformt.,And deformed.,,
,,,,,,Kratzer und Steinschlaege.,Scratches and stone slides.,,
,,,,,,Lampe fehlt,Lamp is missing,,
,,,,,,Fond,Fond,,
,,,,,,Einsatz fehlt,Use is missing,,
,,,,,,Falsch montiert,Incorrectly mounted,,
,,,,,,Schließt nicht,Do not close,,
,,,,,,Seitenwand,Side wall,,
,,,,,,10 19,10 19,,
,,,,,,Keine OEffnung moeglich,No opening possible,,
,,,,,,11 19,11 19,,
,,,,,,Sitze,Seats,,
,,,,,,Abdeckung links,Cover left,,
,,,,,,#NAME?,#NAME?,,
,,,,,,"Zierleiste, Mehrkosten moeglich","Ornamental strip, additional costs possible",,
,,,,,,Reflektor links,Reflector left,,
,,,,,,Steinschlag mit Rissbildung im Sichtbereich,Rockfall with cracking in the field of view,,
,,,,,,Tuer vorn rechts,Tower right,,
,,,,,,5 stk,5 pcs,,
,,,,,,Restlauf unter 1000 Km,Residual run below 1000 km,,
,,,,,,Unterschiddliche Hersteller,Relevant manufacturer,,
,,,,,,Allwetter untef 4 mm,All-weather UNTEF 4 mm,,
,,,,,,verformt mit Materialabtrag,deformed with material removal,,
,,,,,,Klebereste vorhanden,Adhesive residue available,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Wasser +Schimmel,Water + mold,,
,,,,,,Fahrzeugfront Harz,Vehicle front resin,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Fahrgestellnummer,Chassis number,,
,,,,,,Großflaechig. /+auslegen,Large flat. / +,,
,,,,,,3 Kratzer,3 scratches,,
,,,,,,Mit Loch.,With hole.,,
,,,,,,Unterhalb komplett,Completely,,
,,,,,,Rissbildung angefangen.,Cracking started.,,
,,,,,,Tief,Deep,,
,,,,,,Seit 31 Tagen faellig,Faellig for 31 days,,
,,,,,,AW im Stoßfaenger,AW in the shock fenger,,
,,,,,,Kantenschutz lose,Edge protection loose,,
,,,,,,L+R,L + R,,
,,,,,,Schiebetuer rechts,Sliding on the right,,
,,,,,,Abgeloest,Expedient,,
,,,,,,Matt,Frosted,,
,,,,,,235/40 R19 96W,235/40 R19 96W,,
,,,,,,Spaltmaß abweichend,Splitting dimension,,
,,,,,,"Sichtschutz, Halter","Protection, holder",,
,,,,,,Klappt nicht ein,Does not work,,
,,,,,,Falscher Geschwindigkeitsindex und Typ,Wrong speed index and type,,
,,,,,,Tuer v.l innen,Tuer V.L inside,,
,,,,,,"Delle, Oberteil","Delle, top",,
,,,,,,inkl. Rueckfahrkamera. Folgekosten moeglich,including back camera. Subsequent costs possible,,
,,,,,,"Starker Materialabtrag, Felgenhorn verformt","Strong material removal, rim horn deformed",,
,,,,,,07/ 2019,07/2019,,
,,,,,,Einseitig,Unilateral,,
,,,,,,Fehlermeldung im Instrument,Error message in the instrument,,
,,,,,,5x Delle,5x delle,,
,,,,,,"Stark verschmutzt,Klebstoffrueckstaende","Strongly dirty, adhesive locking",,
,,,,,,hinten rechts,back right,,
,,,,,,Delle und Kratzer,Delle and scratches,,
,,,,,,Nabendeckel lackiert,Hub cap painted,,
,,,,,,Wassereintritt Bodenmatte sehr nass Kosten vorbehaltlich,Water inlet Floor mat very wet costs subject to,,
,,,,,,Schraube im Reifen.,Screw in the tire.,,
,,,,,,Und vorn rechts,And in front right,,
,,,,,,Seitenwand / max. Profildifferenz laut Hersteller 2 mm,Sidewall / max. Profile difference according to the manufacturer 2 mm,,
,,,,,,3 Felgen,3 rims,,
,,,,,,tiefer Kratzer,deep scratches,,
,,,,,,Griffschale,Grip,,
,,,,,,Profiletiefe unter 4mm,Profile depth under 4mm,,
,,,,,,"Lackmangel, veraetzungen","Paint deficiency, disappearances",,
,,,,,,"Verharzung, Veraetzung","Fault, compensation",,
,,,,,,3 stk.,3 pcs.,,
,,,,,,Rechts oben,Top right,,
,,,,,,"Falscher Geschwindigkeitsindex, H statt V, Winterreifen","Wrong Speed ​​Index, H instead of V, winter tires",,
,,,,,,< 4mm,<4mm,,
,,,,,,"Im sichtbereich, mit riss","In the field of view, with crack",,
,,,,,,Innen und außen.,Inside and outside.,,
,,,,,,von innen,from the inside,,
,,,,,,eingedellt,observed,,
,,,,,,Anzeige leuchtet / siehe Bemerkungen,Display lights up / see remarks,,
,,,,,,Halter gebrochen,Holder broken,,
,,,,,,Veraetzung im Lack,Confection in the paint,,
,,,,,,tiefer Lackschaden,deep paint damage,,
,,,,,,Dellen und mehrere tiefere Kratzer,Dents and several deeper scratches,,
,,,,,,Delle/Lackschaden und mehrere Lackmaengel,Delle / paint damage and several varnish,,
,,,,,,mehrere Veraetzungen im Lack und Kratzer,Several religations in the paint and scratches,,
,,,,,,Lackveraetzung,Lacquer,,
,,,,,,inkl. Spoiler,incl. Spoiler,,
,,,,,,vorne links,front left,,
,,,,,,"AdBlue ausgelaufen ! Sitz, Bodenblech und Kabel pruefen","AdBlue leaved! Seat, floor panel and cable Pruefen",,
,,,,,,Kotfluegel rechts,Right fender,,
,,,,,,inkl. Armlehne,including armrest,,
,,,,,,Verformung sichtbar,Deformation visible,,
,,,,,,Kontollleuchte,Account,,
,,,,,,Stossfaenger,Shock,,
,,,,,,Ad blue,Ad blue,,
,,,,,,Links&Rechts (Innenflanken verschlissen),Left & right (inside flank worn),,
,,,,,,"Lackmangel, Laeufer","Paint deficiency, Laeuer",,
,,,,,,Schleifspuren + Einschluesse,Grinding tracks + inclusion,,
,,,,,,6x,6x,,
,,,,,,Erhoehter Aufwand da auf Kante.,Covered effort there on edge.,,
,,,,,,Hinten rechts. Nagel eingefahren.,Back right. Nail retracted.,,
,,,,,,Veraetzung/Vorbehaltlich Folgekosten,Contribution / Subject to follow-up costs,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Dichtung Parksensoren,Seal parking sensors,,
,,,,,,Schraube in Laufflaeche,Screw in running,,
,,,,,,"Haube ist lt. Anzeige offen, obwohl zu ist.","Hood is lt. Display open, though to is.",,
,,,,,,"Einschluesse, Konturen","Sleep, contours",,
,,,,,,UEbermaeßiger Steinschlag groeßer als 2 mm,Over-dimensional rockfall bigger than 2 mm,,
,,,,,,Gummiband gerissen,Rubber band torn,,
,,,,,,Keine Selbstversiegelden Reifen (Seal),No self-sealed tires (SEAL),,
,,,,,,Batterien erneuern,Renew batteries,,
,,,,,,Polierspuren und,Polishing tracks and,,
,,,,,,Lehne,rest,,
,,,,,,205/55 R16 91W,205/55 R16 91W,,
,,,,,,fleckig,blotchy,,
,,,,,,WR <3mm,WR <3mm,,
,,,,,,Unter 30 tage,Under 30 days,,
,,,,,,Heiß gelaufen,Worn,,
,,,,,,und auslegen und polieren,and laying out and polish,,
,,,,,,"OElverlust, Kostenerweiterung moeglich","Oil loss, cost expansion possible",,
,,,,,,"Sommerraeder, Glanzgedrehte Oberflaeche","Summer march, glossy surface",,
,,,,,,Band,tape,,
,,,,,,vorn und hinten,front and back,,
,,,,,,links und rechts unterhalb,left and right below,,
,,,,,,Magerlackierung,Lean-up,,
,,,,,,Nabenkappe,Heap,,
,,,,,,Alufelge mit Sommerreifen (Glanzgedreht),Alloy wheel with summer tires (sheen-turned),,
,,,,,,Falscher Reifenindex,False tire index,,
,,,,,,Klebereste. Folgekosten moeglich.,Glue residue. Subsequent costs possible.,,
,,,,,,seit 75 Tagen.,For 75 days.,,
,,,,,,Abdeckung / Verkleidung unten,Cover / fairing below,,
,,,,,,Vandalismusschaden,Vandalism damage,,
,,,,,,Geschwindichkeitsindex zu gering.,Speeding index too low.,,
,,,,,,Leiste Tuer,Strip,,
,,,,,,Falsche Groesse,Wrong size,,
,,,,,,"WR anstatt SR, Geschwindigkeitsindex","WR rather than SR, speed index",,
,,,,,,Leiste vorne,Strip front,,
,,,,,,u. a. mit Tierhaaren,u. a. with animal hair,,
,,,,,,"Fahrersichtfeld, abplatzer groeßer 2mm","Driver's vision field, chipping big 2mm",,
,,,,,,Folgekosten koennen entstehen,Follow-up costs can arise,,
,,,,,,Veraetzungen / Folgekosten koennen entstehen,Assumes / follow-up costs can arise,,
,,,,,,"Sommerbereifung, Innenseite","Summer tires, inside",,
,,,,,,"10.2019, Zuendkerzen","10.2019, Zuendenkerzen",,
,,,,,,POLIEREN,POLISHING,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Spruehdose,Spray can,,
,,,,,,vorbehaltlich Folgekosten moeglich,Subject to follow-up costs possible,,
,,,,,,"Bremsscheiben eingelaufen, Belagstaerke schwach","Brake discs run, Belagstanke Faint",,
,,,,,,innen einseitig abgefahren,unilaterally driven off,,
,,,,,,"vorne, Kosten vorbehaltlich","Front, costs subject to",,
,,,,,,Hartzanhaftung,Hardness,,
,,,,,,Abdeckung AHK,Cover AHK,,
,,,,,,Tragbild innen nicht i.O,Stock image inside not i.o,,
,,,,,,Dellen Kratzer,Dents scratches,,
,,,,,,Klarlack loest sich,Clearcoat liest,,
,,,,,,Frontscheibe,Windscreen,,
,,,,,,Glaetten.,Smooth.,,
,,,,,,Steinschlag groesser 2mm und,Rockfall greater 2mm and,,
,,,,,,Winterbereifung,Winter tires,,
,,,,,,Gummidichtung,Rubber seal,,
,,,,,,Loecher,Lid,,
,,,,,,"Stark sichtbare Kante, nicht durchgaengig lackiert!","Strongly visible edge, not lacquered!",,
,,,,,,10 / 2018,10/2018,,
,,,,,,seit 08/19.,since 08/19.,,
